id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,backyard,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,renovated,zipcode,sqft_living15,sqft_lot15,age,appliance_age,crime
1,325000,3,2.25,1570,43350,1,0,2,4,7,1570,0,1967,0,0,98022,1570,220849,48,17.7,138
2,745000,5,3,2400,10126,2,0,2,3,8,2400,0,1981,0,0,98126,2250,3946,34,3.2,101
3,571000,4,1,1350,4000,1.5,0,0,3,8,1350,0,1930,0,0,98117,1520,4000,85,7.6,110
4,395000,2,2,1960,4018,1,0,0,5,7,980,980,1950,0,0,98108,1240,4641,65,13,118
5,449950,3,1.75,1470,7590,1,0,0,3,7,1470,0,1988,0,0,98117,1700,5080,27,6.8,98
6,243000,3,1.75,1450,12125,1,0,0,4,7,1450,0,1981,0,0,98001,1210,12125,34,14.1,209
7,219950,3,1.5,1070,6601,1,0,0,3,6,1070,0,1985,0,0,98002,1030,6614,30,14.4,171
8,799000,5,2.75,2500,19783,1,1,2,4,8,2500,0,1959,0,0,98005,1700,15375,56,5.1,96
9,207000,4,2,1690,7728,1.5,0,0,4,7,1690,0,1967,0,0,98198,1480,8009,48,22.5,188
10,750000,4,2.75,2640,3750,2,0,0,5,7,1840,800,1911,0,1,98117,1690,5000,104,5.8,40
11,350000,5,1.75,2330,14322,1,0,0,4,7,1180,1150,1968,0,0,98059,1690,10010,47,14.9,162
12,272000,3,2,1380,7476,1,0,0,3,7,1380,0,1989,0,0,98001,1600,7227,26,13.4,159
13,384950,4,2.5,2380,4913,2,0,0,3,8,2380,0,2006,0,0,98038,2580,5311,9,10.3,157
14,272000,4,2.75,1810,7350,1,0,0,4,7,1200,610,1980,0,0,98030,1750,7350,35,17.3,248
15,278000,5,1.5,1820,8712,1,0,0,5,7,1090,730,1960,0,0,98032,1820,8712,55,10,193
16,540000,6,3,2870,206474,2,0,0,3,7,2330,540,1960,1985,1,98042,2380,59677,55,12.9,100
17,755000,3,2.5,2420,8856,1,0,2,3,9,1620,800,1957,0,0,98118,2650,9750,58,3.5,134
18,918000,5,3.5,3920,5150,2,0,2,3,9,2820,1100,2004,0,1,98052,3170,5530,11,6.9,32
19,411000,1,1,1080,5000,1.5,0,0,3,7,1080,0,1948,0,0,98199,1620,4000,67,10.1,149
20,275000,2,2,1290,9041,1,0,0,3,7,950,340,1956,0,0,98108,1290,5000,59,19,119
21,455000,3,1.5,1380,6657,2,0,0,3,7,1380,0,1986,0,0,98034,1420,8187,29,10.6,162
22,339000,4,2.5,2840,8746,2,0,0,3,8,2840,0,2001,0,0,98022,2630,9900,14,13.3,243
23,445000,3,1.75,1850,7056,2.5,0,0,4,8,1850,0,1979,0,0,98052,1970,7056,36,7,177
24,285950,2,1,710,7120,1,0,0,5,6,710,0,1942,0,0,98146,1100,7020,73,11.3,109
25,790000,4,3,3180,12070,2,0,0,4,9,3180,0,1976,0,0,98074,3110,12600,39,5.7,48
26,310000,2,1,1400,4500,1,0,0,3,7,900,500,1922,0,0,98055,1400,5500,93,14.2,143
27,529950,2,2.5,1500,1174,2,0,0,3,8,1140,360,2014,0,0,98107,1550,1519,1,9.3,85
28,339000,3,1.5,1740,21980,1,0,0,4,7,1740,0,1973,0,0,98042,1400,16100,42,8.9,125
29,790000,4,2.5,3500,9198,2,0,0,3,9,3500,0,2004,0,0,98053,3990,8598,11,2.3,69
30,595000,4,1.5,1350,8113,1,0,0,4,7,1350,0,1959,0,0,98004,1930,8113,56,11.2,92
31,216000,3,1.75,1580,9705,1,0,0,4,7,1580,0,1977,0,0,98042,1580,9942,38,23.5,256
32,274950,3,2.5,1608,4000,2,0,0,3,8,1608,0,2014,0,0,98092,2009,4983,1,12.2,190
33,515000,2,1.75,1930,5570,1,0,0,3,8,1930,0,2005,0,0,98053,1810,5178,10,4.8,94
34,550000,4,2,1720,4000,1,0,0,3,7,1420,300,1950,0,0,98105,1350,1281,65,8.3,141
35,370000,3,2.5,1980,6922,2,0,0,5,8,1980,0,1991,0,0,98031,2090,7697,24,12.4,108
36,410000,4,2.25,2200,8292,2,0,0,3,7,2200,0,1990,0,0,98155,1090,8290,25,14.4,106
37,515000,3,1.75,1300,5120,1.5,0,0,4,6,1300,0,1925,0,0,98116,1090,5124,90,11.1,113
38,664950,2,1.75,1180,900,2,0,0,3,10,780,400,2014,0,0,98102,1380,3610,1,11.2,96
39,680000,4,2.75,2220,5310,1,0,0,5,7,1170,1050,1951,0,0,98144,1540,4200,64,9.2,82
40,483945,2,1.75,1480,5120,1,0,0,4,6,840,640,1951,0,0,98116,1090,5120,64,6.8,95
41,845000,4,2.75,3160,7143,1.5,1,1,3,8,2100,1060,1933,0,0,98199,2200,6122,82,6.7,61
42,530000,4,2.75,2280,2850,1.5,0,0,4,7,1540,740,1930,0,0,98115,1680,3800,85,15,129
43,329900,2,2.5,980,1021,3,0,0,3,8,980,0,2008,0,0,98117,980,1023,7,17.4,217
44,659950,3,2.5,2990,9413,2,0,0,3,10,2990,0,2006,0,0,98028,1940,9600,9,14.2,142
45,345000,4,2.25,2320,7350,2,0,0,3,8,2320,0,1973,0,0,98058,2170,7350,42,10.9,219
46,650000,4,3,2950,5000,2,0,2,3,9,1980,970,1979,0,0,98126,2140,4000,36,8,137
47,414999,4,2.5,2150,10098,1,0,0,3,7,1090,1060,1963,0,0,98034,1880,10000,52,11.5,180
48,318000,5,2.5,2820,9956,1,0,0,4,7,1410,1410,1967,0,0,98168,2700,9956,48,8.2,230
49,244000,3,2,1360,9688,1,0,0,4,7,1360,0,1983,0,0,98003,1390,9685,32,11.3,206
50,247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,0,98032,1750,15616,48,21.1,160
51,660000,3,2.5,2450,4332,2,0,0,3,8,2450,0,2010,0,0,98053,2450,4154,5,10,137
52,260000,3,2.5,1490,8102,2,0,0,4,7,1490,0,1990,0,0,98042,1640,7943,25,15.5,143
53,232500,3,2,1370,9760,1,0,0,4,7,1110,260,1979,0,0,98023,1640,9040,36,20.1,174
54,270000,5,2.5,2140,10320,1,0,0,4,7,1330,810,1967,0,0,98031,2050,8964,48,11.7,281
55,390000,5,1.75,2290,7900,1,0,0,4,7,1190,1100,1965,0,0,98133,1870,8250,50,11.7,161
56,264950,3,1.5,1470,11599,1,0,0,3,7,1070,400,1967,0,0,98030,1580,9760,48,19.3,221
57,395000,4,2.75,1970,37026,1,0,0,4,8,1970,0,1961,0,0,98070,1970,51836,54,11.1,144
58,608000,3,1.5,2240,3750,1,0,0,3,7,1220,1020,1952,0,0,98103,1570,3400,63,5.3,73
59,735000,4,2.25,2410,4250,1.5,0,0,5,7,1460,950,1929,0,0,98117,1360,5074,86,3.1,81
60,280000,5,2.5,1630,20750,1,0,0,4,7,1100,530,1975,0,0,98042,1630,8640,40,12.1,185
61,380000,4,2.5,2100,5857,2,0,0,3,8,2100,0,2002,0,0,98059,2090,7779,13,11.2,149
62,467100,3,1.75,1620,8645,1,0,0,3,7,1190,430,1973,0,0,98052,2010,8645,42,7.4,201
63,618000,4,2.25,2470,7350,1,0,0,3,7,1600,870,1978,0,0,98052,1970,7700,37,6.1,97
64,625000,4,2.5,3190,27806,2,0,0,3,9,3190,0,1997,0,0,98010,2810,28619,18,5.4,116
65,404500,2,1,800,5080,1,0,0,3,7,800,0,1938,0,0,98115,1560,5110,77,8.6,122
66,380500,3,2.5,1900,7361,2,0,0,3,8,1900,0,1994,0,0,98055,2100,7361,21,9.4,85
67,375000,3,2.5,1930,6180,1,0,0,3,7,1330,600,1961,0,0,98155,1940,6180,54,13.5,127
68,550000,3,2,1490,3880,1,0,0,3,7,1490,0,1959,0,0,98107,1490,3880,56,6.5,101
69,810000,3,2.5,3140,10983,2,1,1,3,10,3140,0,1991,0,0,98075,3140,10983,24,2.3,82
70,380000,4,2.5,2110,5306,2,0,0,3,8,2110,0,2012,0,0,98038,2250,5306,3,17.5,208
71,365000,2,1,1390,8336,1,0,0,4,6,910,480,1946,0,0,98166,1610,7847,69,20.3,93
72,963000,4,3.5,3280,6603,2,1,1,3,10,3280,0,2007,0,1,98027,3280,7333,8,4.6,37
73,410000,3,2.5,3040,6054,2,0,0,3,9,3040,0,2005,0,0,98042,2650,6054,10,14.5,86
74,632750,4,2,1800,4800,1.5,0,0,3,7,1800,0,1918,0,0,98112,1950,4800,97,4.4,116
75,372000,4,2.5,2520,9604,2,0,0,3,9,2520,0,1990,0,0,98031,2540,9793,25,13.1,167
76,690000,3,2,1760,6428,1,0,0,4,7,980,780,1942,0,0,98199,1760,6004,73,3.3,46
77,382880,3,2,1620,9566,1,0,0,4,7,1620,0,1968,0,0,98059,1660,10011,47,17.1,102
78,615000,2,1.5,880,2400,1.5,0,0,3,7,880,0,1929,0,0,98122,1220,4440,86,4.2,92
79,607500,5,1.75,2220,6000,1.5,0,0,3,7,1420,800,1923,0,0,98199,1550,1715,92,5.2,105
80,600000,4,2.25,2760,5200,2,0,0,3,7,1790,970,1910,2003,1,98144,1310,2059,105,5.8,101
81,530000,2,2.5,1900,2983,2,0,0,3,8,1900,0,2006,0,0,98053,1510,3876,9,14.6,108
82,274800,3,1.75,1410,1988,2,0,0,3,8,1410,0,2014,0,0,98106,1410,1899,1,17.8,160
83,300000,3,1,1380,12000,1,0,0,3,7,1380,0,1963,0,0,98031,1890,22001,52,12.2,172
84,395000,3,2.5,2300,8938,2,0,0,3,9,2300,0,1989,0,0,98031,2570,9694,26,13.3,93
85,830000,4,3.25,3080,4287,2,0,2,3,10,2230,850,2012,0,0,98027,2250,2520,3,6.9,67
86,400000,4,1,1420,4875,1.5,0,0,3,7,1420,0,1930,0,0,98115,1110,5413,85,14.1,110
87,502000,4,1.5,1700,8400,1,0,0,3,7,1700,0,1953,0,0,98177,1750,8475,62,8.9,117
88,542000,4,1,1540,5000,1.5,0,0,4,7,1090,450,1922,0,0,98115,1590,5000,93,8,124
89,355000,3,1.75,2370,9750,1,0,0,4,7,1280,1090,1979,0,0,98045,1230,9775,36,10.6,159
90,237000,3,1,1160,6132,1,0,0,4,7,1160,0,1958,0,0,98056,1280,6132,57,14.1,294
91,310000,3,2.5,2370,6752,2,0,0,3,8,2370,0,1994,0,0,98003,1870,7455,21,13.8,206
92,550000,4,1.75,2410,8447,2,0,2,4,8,2060,350,1936,1980,1,98074,2520,14789,79,4.6,65
93,248500,2,1,780,10064,1,0,0,4,7,780,0,1958,0,0,98168,1090,14750,57,18,223
94,653000,4,2.5,2160,7000,2,0,0,4,9,2160,0,1989,0,0,98029,2300,7440,26,5.5,130
95,344950,3,1,1090,6712,1,0,0,4,7,1090,0,1972,0,0,98034,1440,7350,43,9.7,135
96,830000,4,2.25,3010,12202,1,0,2,4,9,3010,0,1959,0,0,98005,2480,10143,56,8.1,89
97,400000,3,2.75,2220,5000,2,0,0,3,7,2220,0,1993,0,0,98108,960,5000,22,7.7,120
98,600000,7,2.25,3170,36384,2,0,0,3,8,3170,0,1969,0,0,98027,2460,38370,46,7.8,111
